wave,flux,err,fit_all,fit_stell
1247.36,0.974149,0.527224,0.8736811852188631,7.927671923313156
1247.53,0.974429,0.527593,0.7734027370227202,7.016043245344783
1247.71,0.748508,0.452651,0.8814029125057330,7.993828800573880
1247.89,0.899728,0.453009,0.9247985052636143,8.385352948740433
1248.06,0.673326,0.453390,0.8836605897706516,8.010391684659965
1248.24,1.27933,0.529425,0.8957948865828955,8.118408176379702
1248.42,1.05314,0.454067,0.9483178573967294,8.592316591188762
1248.59,1.05427,0.454415,0.9683133600299585,8.771347233477130
1248.77,0.525225,0.379122,0.9781204051782935,8.858021641037013
1248.95,0.828822,0.455221,0.9815155107024932,8.886599807100367
1249.13,1.05652,0.455605,0.9817251149557914,8.886332649218417
1249.30,1.20891,0.532013,0.9570103982618383,8.660507844825702
1249.48,1.13342,0.532386,0.9429659988488936,8.531335132013680
1249.66,1.05819,0.532747,0.9560678936106185,8.647766796303671
1249.83,1.13616,0.533306,0.9555448967477104,8.640932232100354
1250.01,0.832072,0.457387,0.9360185386860349,8.462296117368254
1250.19,0.909602,0.457761,0.8975850263733524,8.112854555728930
1250.37,0.452532,0.305485,0.8470915826281840,7.654604927129157
1250.54,0.682639,0.382140,0.8425035533443824,7.611294671885247
1250.72,0.684642,0.382502,0.8492010669202814,7.669936413246177
1250.90,0.915613,0.459281,0.8665435451761234,7.824669530329814
1251.07,0.993325,0.459656,0.8849543847990055,7.988973729746604
1251.25,0.687760,0.383311,0.9056957104127638,8.174231125700715
1251.43,0.688975,0.383675,0.9187986672884367,8.290475756645549
1251.60,0.767179,0.384039,0.9109154083782042,8.217347253553370
1251.78,0.921707,0.461123,0.9046357267107598,8.158719325769184
1251.96,0.923332,0.461500,0.9002409917578438,8.117114098877067
1252.14,1.20360,0.585271,0.8957370617817766,8.074545314547223
1252.31,1.00037,0.459119,0.8911549252540986,8.031290828640593
1252.49,1.23446,0.511113,0.8752208790852737,7.885778799308412
1252.67,1.21626,0.542813,0.8562291975353440,7.712793028344393
1252.84,1.21618,0.542733,0.8588762472657140,7.734763095366944
1253.02,1.21709,0.543238,0.8649249152463798,7.787348523953625
1253.20,0.701477,0.337363,0.8832298435522985,7.950231532775703
1253.37,0.907783,0.516557,0.8711719488490320,7.839794965322497
1253.55,0.701546,0.517031,0.7911212280401876,7.117685767712587
1253.73,1.01217,0.620829,0.7675861748780354,6.904270703778650
1253.91,0.908875,0.517681,0.8147644598796228,7.326856660117357
1254.08,0.909325,0.518174,0.8576199465871485,7.710373980255198
1254.26,0.702206,0.518665,0.8980216442275192,8.071651134166004
1254.44,0.701808,0.518904,0.9033893828804551,8.117936063394325
1254.61,0.805979,0.519412,0.8984256911639712,8.071379325980061
1254.79,0.909836,0.519890,0.8748320047301382,7.857517936043024
1254.97,0.909321,0.520145,0.8509029866536615,7.640748217465642
1255.14,0.805437,0.520624,0.8308570197909483,7.459017961677539
1255.31,0.701371,0.521118,0.8250391589688223,7.405001627808559
1255.49,0.805801,0.573401,0.8641258573723312,7.753947104888766
1255.67,0.702030,0.521515,0.8877252438594618,7.963784983839716
1255.85,1.01593,0.547943,0.8868306477510681,7.953841700562734
1256.02,0.937998,0.548303,0.8875605591139364,7.958470229290100
1256.20,0.860021,0.548687,0.8897707576118712,7.976365078545840
1256.38,0.547191,0.470719,0.8586888948603777,7.695876543543861
1256.55,0.546922,0.471080,0.8144169840954075,7.297338223255849
1256.73,0.625101,0.471453,0.8437035841368389,7.557931580103201
1256.91,0.703507,0.471814,0.8834602418946494,7.912168676067125
1257.08,0.939557,0.472199,0.8737079706165497,7.822946268352553
1257.26,0.781749,0.393751,0.8636083954151528,7.730656391598771
1257.44,0.466127,0.315250,0.8519340488292810,7.624318193060716
1257.62,0.387341,0.315624,0.8425143826854883,7.538203940121178
1257.79,0.624229,0.394797,0.8368861294648211,7.486047279174805
1257.97,0.940264,0.474035,0.8492339646510262,7.594672893156826
1258.15,0.862192,0.474399,0.8789446882679353,7.858487337792695
1258.32,0.656624,0.411506,0.8631458103248799,7.715379133807616
1258.50,0.577638,0.465026,0.8279521897130928,7.399018528733635
1258.68,1.00103,0.624446,0.7932665227520237,7.087346663352932
1258.86,1.44595,0.741270,0.7586952592951024,6.776846834786099
1259.03,1.65920,0.741756,0.8098124353252307,7.231702458278384
1259.21,1.34234,0.636355,0.8551625353322322,7.634852285005849
1259.39,0.706346,0.636859,0.8591738702202435,7.668826249309390
1259.56,0.388021,0.531053,0.8621420910785331,7.693476085716640
1259.74,0.0696268,0.342079,0.8626814045193130,7.696443069134233
1259.92,0.389062,0.342585,0.8607832197201146,7.677667173133941
1260.09,0.602819,0.449370,0.8557422495544356,7.630876814357279
1260.27,1.02979,0.639321,0.8581788797317937,7.650771165189241
1260.45,1.03081,0.639810,0.8650147124536423,7.709868623409164
1260.63,0.604558,0.640301,0.8528142541450378,7.599307659791293
1260.80,0.499441,0.640791,0.8347745050361773,7.436779480191831
1260.98,0.821134,0.641283,0.8536485368773435,7.603102816539788
1261.16,1.39890,0.620257,0.8751099558045725,7.792387450521645
1261.33,1.13172,0.486750,0.8826198838935516,7.857382318648931
1261.51,0.650300,0.353130,0.8808062656297247,7.839361047657917
1261.69,0.313388,0.321271,0.8476962427208031,7.542873963031738
1261.86,0.312799,0.321456,0.8405765516388146,7.477735995780407
1262.04,0.634102,0.402110,0.8787674232548794,7.815614462108499
1262.22,0.714193,0.402479,0.8954177096001776,7.961796373625063
1262.40,0.713750,0.402664,0.8950099565359215,7.956271136462590
1262.57,0.633593,0.403022,0.8939769110913631,7.945192906493048
1262.75,0.794914,0.403393,0.8926682960225607,7.931669931609392
1262.93,0.875015,0.484350,0.8902466933821627,7.908269151078557
1263.10,0.793830,0.484722,0.8875958558008646,7.882840096234290
1263.28,0.551013,0.485093,0.8822631669360984,7.833611608741805
1263.46,0.550601,0.485465,0.8777236711245056,7.791450300849348
1263.64,0.631923,0.485824,0.8779172976725657,7.791312969563194
1263.81,0.794291,0.486197,0.8782814669302191,7.792689452799650
1263.99,0.794710,0.486569,0.8790559407854567,7.797704464370867
1264.17,0.714574,0.486943,0.8704751271041197,7.719750924681833
1264.34,0.634880,0.487303,0.8494537333201054,7.531530833380785
1264.52,0.635914,0.487677,0.8452244280396271,7.492250517670243
1264.70,0.800083,0.488050,0.8538999286401635,7.567351228304034
1264.87,0.800968,0.488399,0.8637780875386580,7.653075354012117
1265.05,0.883395,0.488773,0.8740445425436094,7.742195806050262
1265.23,0.802752,0.489148,0.8618189328363394,7.632088438111197
1265.41,0.640593,0.407894,0.8468592981528746,7.497826766193896
1265.58,0.886956,0.489941,0.8294685401391473,7.342112084500144
1265.76,0.888059,0.490317,0.8118156298389220,7.184148122591971
1265.94,1.29755,0.654146,0.7928177581508500,7.014362209145460
1266.11,0.971279,0.572811,0.7825214919995195,6.921624626418733
1266.29,0.890632,0.573175,0.7924168667401362,7.007492758191560
1266.47,0.564187,0.491728,0.8078607899943580,7.142371344008360
1266.64,0.811337,0.492105,0.8290106657873541,7.327620415769559
1266.82,0.811728,0.492457,0.8488910174108029,7.501565488056997
1267.00,1.05820,0.492822,0.8680521305237903,7.669071398407866
1267.18,0.811375,0.493200,0.8614346890953528,7.608804944919186
1267.35,0.729287,0.493578,0.8469474472599335,7.479073356288652
1267.53,0.482641,0.493931,0.8590376537398867,7.584042622433870
1267.71,0.565498,0.494298,0.8734634460983429,7.709576718652386
1267.88,0.565224,0.494677,0.8737691603260898,7.710450387262711
1268.06,0.895435,0.577617,0.8744540675860610,7.714668553536839
1268.24,1.14325,0.660589,0.8769420404064617,7.734789690244668
1268.41,1.22657,0.660944,0.8781114945850236,7.743273039674108
1268.59,0.815338,0.496018,0.8769966318783898,7.731615410877609
1268.77,0.652083,0.413780,0.8625604608471767,7.602548743027839
1268.95,0.653453,0.414148,0.8348474647626598,7.356550245408428
1269.12,0.902139,0.497235,0.8344012763155729,7.350881791135308
1269.30,0.903052,0.497616,0.8494408457480978,7.481611285333329
1269.48,1.15308,0.581055,0.8635991690275286,7.604518770446617
1269.65,1.15412,0.581436,0.8775083984319617,7.725174935139464
1269.83,0.988451,0.581780,0.8591341623511308,7.561632211192659
1270.01,0.656605,0.499081,0.8384342173644286,7.377704342202847
1270.19,0.573884,0.499464,0.8364121240669027,7.358173703459116
1270.36,0.741349,0.499847,0.8290633629684290,7.291806442428012
1270.54,1.32629,0.583636,0.7977755097742411,7.014969708660431
1270.72,1.49474,0.583981,0.7907313964226370,6.951391918907177
1270.89,1.41218,0.584352,0.8359047865252720,7.346784410310477
1271.07,0.828699,0.501316,0.8604976707795065,7.561154339801632
1271.25,0.662302,0.501701,0.8602305150428500,7.557026410308325
1271.42,0.411290,0.418340,0.8621735042319518,7.572314289031397
1271.60,0.746430,0.502471,0.8656583541051591,7.601131261498281
1271.78,0.749297,0.558472,0.8437248711364240,7.406797632602959
1271.96,1.00372,0.698267,0.8121626763858585,7.128047333905130
1272.13,0.531887,0.475297,0.8515062596756785,7.471594831923071
1272.31,0.532760,0.475794,0.8972103146140673,7.870779764140224
1272.49,0.309642,0.281006,0.8591964127523011,7.535530302942348
1272.66,0.758273,0.476768,0.8341270896742750,7.313944873108944
1272.84,0.870555,0.477284,0.8655709791237542,7.587875181909851
1273.02,0.982618,0.560799,0.8808877043073126,7.720333722370839
1273.19,0.758588,0.561315,0.8627569637617016,7.559657984794683
1273.37,0.759104,0.561780,0.8425423290613888,7.380800970730320
1273.55,0.984255,0.674496,0.8199220379442380,7.180959436456725
1273.73,0.985262,0.674979,0.8316815450811136,7.282243293404669
1273.90,1.32499,0.788167,0.8666678941039094,7.586805957834599
1274.08,1.10073,0.675943,0.8665344142763836,7.583860681768115
1274.26,1.43940,0.676444,0.8536597552956110,7.469433382735289
1274.43,1.10097,0.564242,0.8669909090125872,7.584302684238224
1274.61,1.24172,0.636525,0.8841860922785945,7.732914830757892
1274.79,0.814909,0.580660,0.8817275343421441,7.709605506109185
1274.96,0.869431,0.524796,0.8794957343690535,7.688292975558895
1275.14,0.923880,0.509820,0.8786392539667446,7.679009818730705
1275.32,1.35087,0.595298,0.8780287059292564,7.671879446093257
1275.50,1.35263,0.595649,0.8782916882651683,7.672383786918104
1275.67,1.18395,0.596001,0.8748022869205715,7.640190223284208
1275.84,1.01544,0.511267,0.8631902918065688,7.537013622103800
1276.02,1.01678,0.511620,0.8595459402469779,7.503439661320712
1276.20,1.18810,0.512013,0.8656064216334104,7.554580895320044
1276.37,0.761865,0.426954,0.8647948023137454,7.545735578021706
