wave,flux,err,fit_all,fit_stell
1485.17,2.24465,5.21335,0.7346443402966388,4.851079835943800
1485.34,-0.358386,6.54735,0.7417204337799007,4.896977917501985
1485.52,0.954400,4.26432,0.7509369326507157,4.956992510089300
1485.70,-0.350779,3.27746,0.7438649284332224,4.909481300275090
1485.87,-0.366929,3.31530,0.7304442016530890,4.820092950825838
1486.05,-0.366019,3.31625,0.7272067513695185,4.797920571912972
1486.23,0.982565,4.34094,0.7334693615370952,4.838425755228695
1486.41,2.31558,1.99506,0.7355112909312594,4.851078968347977
1486.58,5.03326,4.39082,0.7303731655480620,4.816378325618668
1486.76,2.32124,5.77626,0.7284416873686347,4.802834088908931
1486.94,5.06907,8.19926,0.7425394748208288,4.894960367588379
1487.11,5.10752,8.23816,0.7563323650782193,4.985047795921385
1487.29,5.08940,8.27768,0.7559435070926700,4.981646182570735
1487.47,2.34888,5.86204,0.7555541495987859,4.978242281879432
1487.64,-0.700356,3.14028,0.7413288344331435,4.883693392384885
1487.82,0.389942,0.405383,0.7240184495823216,4.768855230699248
1488.01,-0.967244,2.19646,0.7282133986756305,4.795646506893625
1488.18,0.105433,3.22533,0.7447741665603252,4.903883744707382
1488.36,0.111260,3.23032,0.7526457740263454,4.954881279191653
1488.54,0.0989153,3.26099,0.7521532455964840,4.950807943810137
1488.71,-2.04346,4.35741,0.7501568122481379,4.936837889344392
1488.89,-3.11884,6.48776,0.7447642513651357,4.900526601902644
1489.07,-3.12151,6.51888,0.7399892105759074,4.868289317506594
1489.25,0.159402,6.54998,0.7384641743851714,4.857441723371281
1489.42,1.24267,4.42677,0.7369386386251373,4.846594344518785
1489.60,1.22552,4.45817,0.7166828598509885,4.712588692479368
1489.78,-2.08513,4.48992,0.6955547488933109,4.572892733854619
1489.95,-0.967170,5.55851,0.6801454168403903,4.470836184031764
1490.13,1.25896,4.46728,0.6660582503839938,4.377502158335215
1490.31,5.75478,4.49945,0.6801804062144032,4.469566975148567
1490.48,5.76767,4.51562,0.7124733846207152,4.680985769942446
1490.66,5.77820,4.53187,0.7350655906014654,4.828609806560326
1490.85,2.38951,2.31896,0.7437353468718169,4.884708555047364
1491.02,1.25524,1.23171,0.7501228586587123,4.925835697062002
1491.20,-1.03275,2.40437,0.7519963452488541,4.937313525692797
1491.38,-1.02457,2.41156,0.7531822043146094,4.944272172038858
1491.55,0.150520,3.53187,0.7479218962863454,4.908919501404331
1491.73,1.31342,1.27626,0.7426636242455534,4.873591254421118
1491.91,2.49804,2.40326,0.7393597374607150,4.851099087490613
1492.09,3.69911,3.60415,0.7362871274017300,4.830132127895926
1492.26,3.69512,3.60073,0.7392293715216844,4.848623613910952
1492.44,1.31678,4.81345,0.7442071147301178,4.880457446721167
1492.62,-2.25049,4.84807,0.7461604374867751,4.892450517010467
1492.79,-1.04333,6.00190,0.7455788560908432,4.887821903382385
1492.97,2.57826,6.03649,0.7458014912282879,4.888464167774920
1493.15,6.21575,6.07143,0.7475770136698875,4.899284894888854
1493.32,5.01341,4.92221,0.7402809647518103,4.850660151747746
1493.50,1.35985,4.95730,0.6954001950611592,4.555821458879478
1493.69,2.63627,4.99256,0.6514256145455496,4.266987054338486
1493.86,1.39563,7.41967,0.6914223024160939,4.528218647169865
1494.04,2.62435,5.01374,0.7314321236735988,4.789450152263392
1494.22,0.166105,3.79542,0.7285346513656623,4.769682412246841
1494.39,0.151573,3.83136,0.7168569343349270,4.692448059768910
1494.57,-1.11354,6.30957,0.7161477698017873,4.687024779774521
1494.75,2.71737,7.60054,0.7205041885134298,4.714750746571514
1494.93,2.67797,7.63759,0.7159231881591251,4.683994056128455
1495.10,5.22027,6.38967,0.7017117633266696,4.590250610963494
1495.28,0.136059,3.90214,0.6914116568971129,4.522120462428632
1495.46,2.72671,2.64172,0.6912839284132795,4.520533372799019
1495.63,1.45235,1.41442,0.6928755473158529,4.530187613315441
1495.81,2.76486,2.66661,0.7158515399997327,4.679631453892927
1495.99,1.46865,1.42762,0.7388193057522638,4.828972287886867
1496.16,2.78658,2.69258,0.7403543613065396,4.838200998725835
1496.35,1.46871,1.43607,0.7386660943168866,4.826332767108241
1496.53,2.81458,2.71318,0.7380542736834191,4.821534720059972
1496.70,4.19541,4.07445,0.7377487458101346,4.818739978591495
1496.88,4.21480,4.09192,0.7367008777359789,4.811095630052531
1497.06,4.24136,4.11155,0.7350757723364234,4.799685847603985
1497.23,1.55733,1.49908,0.7273171692151775,4.748237012542532
1497.41,1.55940,1.50115,0.7086811713644873,4.625806443007583
1497.59,0.201130,0.217681,0.6889046619105769,4.495972469770148
1497.77,-1.18511,2.90900,0.6631538397460129,4.327198532177304
1497.94,-2.57943,5.61227,0.6382012471779082,4.163687610534618
1498.12,-2.58382,5.60845,0.6812502223315982,4.443806137534711
1498.30,0.198933,4.24730,0.7243132763638964,4.723924659600321
1498.47,4.40007,4.28767,0.7101951936596190,4.631080333975664
1498.65,2.97828,7.05010,0.6824842789118011,4.449643841881651
1498.83,2.09515,6.22846,0.6769379162748954,4.412752441324617
1499.00,-0.196765,3.99495,0.6858256835437755,4.469948113732396
1499.19,-0.168397,3.08100,0.6952574468205844,4.530639379041713
1499.37,-2.08759,4.42655,0.7045274647433728,4.590288216248346
1499.54,-2.08754,4.42664,0.7122018513641911,4.639522126537678
1499.72,-0.178701,3.08811,0.7148269635866509,4.655852988001676
1499.90,1.73206,1.73421,0.7168515892063090,4.668267243518567
1500.07,-0.238677,3.11393,0.7036194682488832,4.581339597969972
1500.25,-2.21010,4.50876,0.6903827300937043,4.494412248594958
1500.43,-2.20205,4.51682,0.7042139239409627,4.583695078722368
1500.60,-2.22785,4.54568,0.7234041831037611,4.707826182518613
1500.78,-0.255317,3.15202,0.7299554370135253,4.749676036871058
1500.96,-0.257501,3.14987,0.7307805247443907,4.754260277777853
1501.14,-0.284100,5.19951,0.7293783229833549,4.744353904407077
1501.31,-2.31956,8.68181,0.7256079335114393,4.719050190919322
1501.49,-4.36634,12.1852,0.6960551673820570,4.526103411791450
1501.67,-4.40878,12.2446,0.6010292101171228,3.907551746187686
1501.85,-4.44366,12.3043,0.5241956448047356,3.407438381838517
1502.03,-2.61768,8.58075,0.6111933526486304,3.972295728627248
1502.21,-2.65411,7.59706,0.6982797083868015,4.537542662438508
1502.38,-2.68981,6.60858,0.7234543559758503,4.700358155932271
1502.56,-1.43470,7.82498,0.7431546848562093,4.827557327233293
1502.74,3.28225,7.87079,0.7413208711602608,4.814851611667279
1502.91,4.84182,4.78376,0.7309060813184360,4.746426617911265
1503.09,1.66397,6.40388,0.7257570940333823,4.712213953225536
1503.27,-3.10661,6.44964,0.7256350392437081,4.710644832835651
1503.44,-1.49438,8.01647,0.7263459779586310,4.714484012625494
1503.62,-1.50987,8.06267,0.7289204936326034,4.730416920922615
1503.80,1.73866,6.48186,0.7306879410658680,4.741106540623157
1503.98,2.85716,7.05401,0.7256042155087630,4.707345638458932
1504.15,2.82868,8.20311,0.7205151296949055,4.673561553059212
1504.33,1.73924,7.16276,0.7075958657735707,4.589007594665876
1504.51,1.78417,7.19436,0.6932492222782721,4.495195125998073
1504.69,3.97828,3.39016,0.7058474772133090,4.576133729417776
1504.87,1.73713,7.27769,0.7276506458370220,4.716711093210300
1505.05,-0.477524,5.65604,0.7348866309730920,4.762833359599785
1505.22,-0.450745,5.68278,0.7296457677079573,4.728090612539845
1505.40,-0.457791,5.74750,0.7223410696640820,4.679987732427460
1505.58,1.83815,7.43425,0.7109555766667662,4.605466915950537
1505.75,1.84373,7.43987,0.7026746345789419,4.551076770293147
1505.93,1.82054,7.50589,0.7147588752597218,4.628584929110797
1506.11,-2.75495,9.85280,0.7268554839726822,4.706146420477879
1506.28,-5.06761,13.8859,0.7337280401830004,4.749866318234908
1506.46,-5.08716,13.9533,0.7402123838980120,4.791057821716890
1506.64,-5.11962,14.0209,0.7363595083629187,4.765337932116608
1506.82,-5.15462,14.0882,0.7286214220004710,4.714489221697345
1507.00,-2.81904,10.0474,0.7293183672602702,4.718192954389579
1507.18,1.91899,7.73377,0.7370749205441772,4.767591446908746
1507.35,1.88640,7.80238,0.7394828772213543,4.782383802578174
1507.53,1.89270,7.80872,0.7324619196027192,4.736203101225172
1507.71,-0.904655,5.65154,0.7272659324764319,4.701835967481546
1507.89,-0.901225,4.50226,0.7317655376194948,4.730151307888587
1508.06,-1.48211,3.93083,0.7362633853229451,4.758447110785216
1508.24,-3.48799,7.37779,0.7382973177395872,4.770811928460009
1508.42,2.01937,7.43040,0.7402197102397766,4.782453160936324
1508.59,5.72209,11.0703,0.7299200108879114,4.715137572972179
1508.77,5.70121,11.1234,0.7156092554530035,4.621936877919332
1508.95,2.01130,7.50179,0.7132547689023806,4.605976392736668
1509.12,-1.69393,3.86056,0.7206966935344996,4.653274017288584
1509.30,-1.72382,3.91444,0.7257084883909326,4.684867575263969
1509.48,0.176482,5.74497,0.7261643251032273,4.687045954690358
1509.66,0.184024,5.75146,0.7271149589567119,4.692382868452821
1509.84,5.91696,5.80612,0.7312371366116315,4.718215646483387
1510.02,4.03250,3.98963,0.7353607386770639,4.744048455409434
