wave,flux,err,fit_all,fit_stell
1050.43,1.08964,0.292266,0.9665944126087832,2.792781917983606
1050.61,0.968405,0.292487,0.9592204699042641,2.771055945135591
1050.80,1.06669,0.292708,0.9492286949245292,2.741775997246118
1050.99,1.28743,0.317366,0.9380842900192529,2.709175769871925
1051.17,1.31269,0.317587,0.9295089811422850,2.684004045844017
1051.36,1.19132,0.293348,0.9297771126094692,2.684372191055240
1051.54,0.825442,0.244662,0.9408243009080977,2.715855818521063
1051.73,0.850740,0.244891,0.9550001893849848,2.756360040797977
1051.91,0.777806,0.245057,0.9628854870645266,2.778699150279951
1052.10,0.901203,0.269774,0.9621513929525676,2.776161020653931
1052.28,0.951293,0.270004,0.9560887107888881,2.758251284510440
1052.46,0.976473,0.270177,0.9476983736393504,2.733650276036137
1052.65,1.07564,0.270400,0.9393635754026993,2.709199168546888
1052.83,1.12577,0.270631,0.9354166856574515,2.697408847776715
1053.02,1.24944,0.295443,0.9393726724260363,2.708407967357491
1053.20,1.22581,0.295674,0.9489428470886282,2.735588145106460
1053.39,1.22681,0.295898,0.9585930044849330,2.762990904988963
1053.58,1.17814,0.296129,0.9651326627218915,2.781420871369818
1053.76,1.37678,0.321076,0.9689795962795039,2.792087132936632
1053.95,1.35293,0.321308,0.9711321710067635,2.797868609170344
1054.13,1.37834,0.321533,0.9719697382163639,2.799859956756751
1054.31,0.913681,0.256502,0.9721011599524896,2.799834739392730
1054.49,0.858967,0.254230,0.9718999918442014,2.798834085346216
1054.68,1.00000,0.284201,0.9697651938892226,2.792267050619497
1054.87,0.922761,0.290195,0.9602796775485315,2.764539096694521
1055.05,0.762218,0.290422,0.9382748110691727,2.700783618771566
1055.24,0.795615,0.290726,0.9087605246106499,2.615435233767313
1055.42,1.18387,0.355570,0.8878960767046444,2.555002848109753
1055.61,1.44333,0.388162,0.8878723709475375,2.554551275136927
1055.79,1.50943,0.388466,0.9035796628467391,2.599353593510874
1055.98,1.34854,0.356348,0.9227385721705872,2.654070579724532
1056.16,1.34969,0.356653,0.9387547265621262,2.699732956961686
1056.34,1.15615,0.324477,0.9507342782402509,2.733791484679717
1056.53,1.15688,0.324706,0.9582253552636799,2.754919208579700
1056.71,0.962990,0.292488,0.9604490813808461,2.760899061071199
1056.90,0.898960,0.292717,0.9577136354016054,2.752622992540610
1057.08,0.867234,0.292939,0.9500078647688353,2.730066876886780
1057.27,0.802729,0.293169,0.9389474581087757,2.697878569870789
1057.46,0.803403,0.293399,0.9305110884396433,2.673238352702997
1057.64,0.836721,0.293629,0.9302657736116985,2.672134066437271
1057.83,0.844545,0.284950,0.9357462751788453,2.687474664919125
1058.01,0.841296,0.287724,0.9369529083438395,2.690538146839546
1058.20,0.787599,0.265319,0.9266540486125107,2.660566903275146
1058.38,0.975702,0.276998,0.9094598076501235,2.610825353812348
1058.56,0.925865,0.252009,0.8973734646863887,2.575744305608371
1058.75,1.00226,0.277427,0.8976534911486258,2.576163743300418
1058.93,0.978169,0.277665,0.9064456697380822,2.601008266316227
1059.12,1.10540,0.303114,0.9171952627614426,2.631461202040709
1059.30,1.08100,0.303345,0.9264737261749877,2.657685202037832
1059.49,0.980750,0.278264,0.9306950434322186,2.669396838754865
1059.67,0.880469,0.253166,0.9252758191890351,2.653457987069069
1059.86,0.830698,0.228047,0.9108391041112827,2.611668365841745
1060.04,0.958461,0.253597,0.8962597950253602,2.569482323141063
1060.23,0.959297,0.253777,0.8901863513910603,2.551690570027966
1060.41,0.909220,0.253957,0.8915231751916176,2.555158539898178
1060.59,0.757698,0.228754,0.8905370611469633,2.551952690466645
1060.78,0.758463,0.228934,0.8791682975116338,2.518999296164070
1060.96,0.768981,0.255433,0.8594547974972756,2.462150347999073
1061.15,0.694326,0.247681,0.8395581901786096,2.404793213428841
1061.34,0.491263,0.239918,0.8252915302708744,2.363577640565125
