wave,flux,err,fit
866.246,0.563845,0.414350,-265.9783967468143
866.422,0.677390,0.442263,-264.5470886335626
866.599,0.531744,0.411909,-263.1151250827578
866.775,0.444371,0.383221,-261.6824868526203
866.951,0.414667,0.368724,-260.2490184718718
867.128,0.499234,0.383883,-258.8150109383752
867.304,0.440496,0.368937,-257.3803079138806
867.481,0.467619,0.369141,-255.9448272650976
867.657,0.568752,0.374608,-254.5087353028423
867.833,0.669774,0.380252,-253.0719606897935
868.010,0.769656,0.380690,-251.6346051397390
868.186,0.832245,0.371998,-250.1963517299128
868.363,0.764969,0.344123,-248.7575610719762
868.539,0.726240,0.334414,-247.3180379420394
868.715,0.632088,0.315299,-245.8777868532770
868.892,0.592719,0.305593,-244.4368481689110
869.068,0.590530,0.304863,-242.9952620461751
869.245,0.589731,0.304276,-241.5530363783880
869.421,0.661380,0.321343,-240.1101217822319
869.597,0.806667,0.348168,-238.6664079896056
869.774,0.677257,0.328372,-237.2220812420947
869.950,0.620942,0.318733,-235.7770508230699
870.127,0.656821,0.327429,-234.3313122206421
870.303,0.491898,0.290722,-232.8849351790899
870.479,0.453611,0.281106,-231.4378994262132
870.656,0.495048,0.293083,-229.9901537886849
870.832,0.520820,0.304027,-228.5416267371023
871.009,0.582871,0.315662,-227.0925371821135
871.185,0.613492,0.333240,-225.6426857294839
871.362,0.670345,0.356042,-224.1922058705309
871.538,0.704716,0.363883,-222.7410016908018
871.714,0.617984,0.351636,-221.2890815886198
871.891,0.559856,0.342092,-219.8364615175642
872.067,0.563826,0.332624,-218.3832495005733
872.244,0.467834,0.307957,-216.9292381007008
872.420,0.514132,0.305183,-215.4745904008308
872.596,0.535878,0.303955,-214.0192931125904
872.773,0.546704,0.300491,-212.5632388897074
872.949,0.598764,0.308976,-211.1065367907026
873.126,0.667536,0.317391,-209.6491091684327
873.302,0.648159,0.316502,-208.1910553316049
873.478,0.717096,0.325230,-206.7322443472258
873.655,0.680918,0.316113,-205.2728065717304
873.831,0.697018,0.323878,-203.8126312250093
874.008,0.625248,0.314236,-202.3517724598304
874.184,0.484608,0.286605,-200.8902103807675
874.360,0.587189,0.303145,-199.4279588065722
874.537,0.707735,0.328429,-197.9649880609796
874.713,0.671896,0.319282,-196.5013057968489
874.890,0.705293,0.319323,-195.0369702904184
875.066,0.705314,0.319041,-193.5718803703907
875.243,0.600004,0.301370,-192.1061345564552
875.419,0.564130,0.292241,-190.6396919050580
875.595,0.683239,0.309197,-189.1724887005230
875.772,0.613345,0.299766,-187.7046888421124
875.948,0.596101,0.295226,-186.2361401541737
876.125,0.611701,0.294829,-184.7669412254544
876.301,0.593270,0.294074,-183.2970280072211
876.478,0.608261,0.293588,-181.8264540337636
876.654,0.692055,0.309898,-180.3551784412561
876.830,0.895011,0.348463,-178.8831957015160
877.007,0.825795,0.339193,-177.4105192167792
877.183,0.807607,0.330618,-175.9371540961135
877.360,0.704411,0.320940,-174.4631045670093
877.536,0.614720,0.310168,-172.9883347898852
877.712,0.521777,0.308483,-171.5129125887362
877.889,0.555736,0.335550,-170.0367034581030
878.065,0.572786,0.362393,-168.5598647349954
878.242,0.547756,0.369421,-167.0822636829066
878.418,0.560367,0.378014,-165.6039703088043
878.595,0.599058,0.400388,-164.1249968814340
878.771,0.612404,0.410823,-162.6453364967619
878.947,0.625753,0.421225,-161.1649681575599
879.124,0.564740,0.425060,-159.6839054055846
879.300,0.603007,0.447163,-158.2021445100850
879.477,0.687165,0.448542,-156.7197010936966
879.653,0.696472,0.437249,-155.2365222758372
879.830,0.705727,0.426019,-153.7526329768611
880.006,0.888996,0.445882,-152.2680852279679
880.182,0.873623,0.434358,-150.7828013948880
880.359,0.748063,0.408967,-149.2968843274635
880.535,0.722037,0.407752,-147.8102046545442
880.712,0.695112,0.386926,-146.3228391719395
880.888,0.577198,0.346607,-144.8347876900157
881.065,0.591242,0.327409,-143.3460383203663
881.241,0.581182,0.311612,-141.8565517143966
881.417,0.513984,0.276326,-140.3663900490852
881.594,0.437625,0.269250,-138.8755305654089
881.770,0.314365,0.215872,-137.3839419987262
881.947,0.399719,0.573925,-135.8916444216286
882.123,0.292960,0.521030,-134.3986451043836
882.300,0.218866,0.476277,-132.9049585754784
882.476,0.395188,0.840582,-131.4105297387465
882.652,0.395066,0.840581,-129.9154151662891
882.829,0.153939,0.421281,-128.4196345751138
883.005,0.392975,0.837124,-126.9230883102796
883.182,0.631708,1.25237,-125.4258597465402
883.358,0.391619,0.834805,-123.9278969874288
883.535,0.391554,0.834801,-122.4292856131053
883.711,0.391471,0.834798,-120.9299298043893
883.888,0.627286,0.950629,-119.4298740814736
884.064,0.388657,0.535374,-117.9291195883973
884.240,0.388823,0.535367,-116.4277070205122
884.417,0.625562,0.946501,-114.9255424075945
884.593,1.33419,1.48693,-113.4227001960270
884.770,0.859723,0.955242,-111.9191007788471
884.946,0.860008,0.955236,-110.4148282524409
885.123,1.09534,1.36412,-108.9098525123717
885.299,0.858896,0.952978,-107.4041607400443
885.475,0.619738,0.937624,-105.8977626675656
885.652,0.853758,1.34511,-104.3906754134986
885.828,1.08729,1.75225,-102.8828187964438
886.005,0.851772,1.34337,-101.3742918350917
886.181,1.31814,1.86619,-99.86502330996522
886.358,0.848758,1.34110,-98.35508803729235
886.534,0.614446,0.933620,-96.84441149206071
886.711,0.380518,0.526478,-95.33303235292071
886.887,0.380549,0.526474,-93.82091962195771
887.063,-0.0859318,0.00364748,-92.30814110568402
887.240,-0.0859036,0.00364290,-90.79462009382860
887.416,-0.0858649,0.00363812,-89.28041381885825
887.593,0.145082,0.405849,-87.76547158472144
887.769,0.375591,0.807724,-86.24983371227658
887.946,0.605702,1.20915,-84.73346175884265
888.122,1.06557,1.72526,-83.21642159006632
888.299,1.75471,2.25218,-81.69863881795281
888.475,1.75321,2.24993,-80.18013970764068
888.651,2.21030,2.37376,-78.66092494145734
888.828,1.97993,1.97233,-77.14102738777324
889.004,1.74860,1.85482,-75.62038596714206
889.181,1.28764,1.72607,-74.09905424307063
889.357,1.05809,1.32609,-72.57699978812096
889.534,0.370402,0.800380,-71.05422651734322
889.710,0.598216,1.19710,-69.53073026005400
889.887,0.369680,0.798490,-68.00652331545146
890.063,0.368625,0.796027,-66.48160964956263
890.240,0.368921,0.796019,-64.95597849936006
890.416,0.369104,0.796013,-63.42962980200866
890.592,0.141537,0.399285,-61.90255948157278
890.769,0.141451,0.399285,-60.37475791062406
890.945,-0.0858049,0.00355506,-58.84626668437360
891.122,0.590867,0.520971,-57.31705346559983
891.298,0.590787,0.520972,-55.78710933076837
891.475,1.26614,1.03723,-54.25644379331483
891.651,1.49110,1.42924,-52.72505644865549
891.828,1.49117,1.42924,-51.19295544091225
892.004,1.26316,1.41528,-49.66015335124480
892.180,1.71153,1.91819,-48.12662767103883
892.357,1.03597,1.40194,-46.59238182884356
892.533,0.810859,1.00993,-45.05743453019321
892.710,1.48095,1.52278,-43.52177096196524
892.886,1.47820,1.52064,-41.98536174459994
893.063,1.47537,1.51863,-40.44825426838895
893.239,3.48005,2.36209,-38.91043330288003
893.416,7.70837,3.43385,-37.37188746807486
893.592,12.8185,4.21090,-35.83263462050478
893.769,23.4774,5.44457,-34.29265095727492
893.945,41.2263,7.12036,-32.75195450114547
894.122,60.7233,8.56509,-31.21053748593272
894.298,79.3044,9.88776,-29.66839944757680
894.474,102.506,11.2127,-28.12555867420261
894.651,122.786,12.2019,-26.58196308720509
894.827,142.130,13.0757,-25.03765395143509
895.004,170.705,14.1105,-23.49262702034103
895.180,202.995,15.2002,-21.94686148177176
895.357,236.327,16.2888,-20.40037452918929
895.533,279.956,17.6262,-18.85315558268652
895.710,322.859,18.7797,-17.30521456983083
895.886,363.469,19.9184,-15.75654416309789
896.063,408.408,21.1183,-14.20716258377218
896.239,445.384,22.0792,-12.65705983301196
896.416,478.768,22.8891,-11.10623708705825
896.592,521.945,23.8851,-9.554696718806191
896.768,551.925,24.5586,-8.002435658721845
896.945,586.864,25.3034,-6.449445020609181
897.121,615.886,25.9299,-4.895734162809630
897.298,638.088,26.3939,-3.341290370230927
897.474,660.425,26.8320,-1.786127229939512
897.651,682.760,27.2751,-0.2303296788040583
897.827,696.755,27.5375,1.325976085220071
898.004,723.807,28.0563,2.882496920557842
898.180,743.450,28.4315,4.438627718384799
898.357,756.074,28.6580,5.993166032719145
898.533,762.419,28.7686,7.543899547534293
898.710,768.521,28.8721,9.086963999326413
898.886,777.194,29.0199,10.61609384576275
899.063,778.533,29.0337,12.12173933944955
899.239,771.416,28.8891,13.59034656227205
899.416,774.277,28.9319,15.00406428950402
899.592,757.918,28.6069,16.34127172996784
899.768,731.625,28.0979,17.57812987968119
899.945,718.114,27.8262,18.69124206368158
900.121,691.489,27.2891,19.66111906429392
900.298,663.810,26.7319,20.47583882536428
900.474,631.693,26.0479,21.13387008346090
900.651,599.179,25.3526,21.64531160956955
900.827,560.897,24.5267,22.03116363050260
901.004,523.553,23.6747,22.32045521018229
901.180,476.169,22.5654,22.54572024246986
901.357,440.237,21.6690,22.73796332959403
901.533,397.490,20.5718,22.92205711207703
901.710,354.154,19.4186,23.11307233081377
901.886,313.244,18.2421,23.31405001866727
902.063,276.886,17.2361,23.51502247934896
902.239,239.938,16.1887,23.69273475178836
902.416,203.897,15.0533,23.81087466477328
902.592,171.312,13.9902,23.82098757643852
902.769,143.469,12.9277,23.66477771224970
902.945,115.664,11.6384,23.27889606142756
903.122,90.4547,10.2457,22.60294462295914
903.298,68.8998,8.85426,21.59025984463117
903.475,48.8549,7.46562,20.21980529165075
903.651,31.1749,5.96825,18.50610807926206
903.828,19.4652,4.89237,16.50383006528586
904.004,11.5935,3.92883,14.30456924456701
904.180,7.12847,3.27480,12.02559446288369
904.357,3.72834,2.72747,9.792664160423007
904.533,2.87836,2.50153,7.721063284040903
904.710,1.60528,1.80760,5.899490698952869
904.886,1.18045,1.69007,4.380416089017018
905.063,0.756517,1.21510,3.178453647699224
905.239,0.543981,1.10833,2.275841713291469
905.416,0.754283,1.21295,1.632466900319831
905.592,0.754133,1.21295,1.197197359801469
905.769,0.964187,1.31750,0.9177894777609109
905.945,1.17485,1.68466,0.7477569165706236
906.122,0.963786,1.31670,0.6498593981866153
906.298,0.541793,0.843452,0.5967611959570164
906.475,0.541838,0.843450,0.5698811311904711
906.651,0.120379,0.370658,0.5574332782476569
906.828,0.119921,0.369632,0.5524183781509105
907.004,0.539949,0.840634,0.5509347076176291
907.181,0.539907,0.840634,0.5509164497835487
907.357,0.749662,1.20633,0.5513399671494267
907.534,0.749485,1.20633,0.5517590821065845
907.710,0.539116,0.840202,0.5520067616712233
