wave,flux,err,fit
861.131,0.615955,0.388396,-250.9978164884770
861.307,0.735970,0.411969,-249.8185672186865
861.483,0.637621,0.386037,-248.6390302065525
861.660,0.636093,0.384835,-247.4588989821752
861.836,0.707432,0.396661,-246.2785403929616
862.013,0.608626,0.383183,-245.0976833253841
862.189,0.606441,0.382132,-243.9164281699560
862.365,0.773446,0.418261,-242.7347460050583
862.542,0.795818,0.418023,-241.5526748282521
862.718,0.747898,0.403920,-240.3701554976604
862.895,0.759618,0.400007,-239.1873130224504
863.071,0.664023,0.374331,-238.0040116820009
863.247,0.568647,0.348544,-236.8203368931028
863.424,0.462024,0.315170,-235.6362428653696
863.600,0.519747,0.324389,-234.4517111881762
863.776,0.517733,0.323531,-233.2667937289864
863.953,0.457718,0.303636,-232.0814329217103
864.129,0.456365,0.304279,-230.8957116578155
864.306,0.653747,0.347880,-229.7095867377476
864.482,0.573109,0.346373,-228.5230194252254
864.658,0.553302,0.379519,-227.3361107685888
864.835,0.650982,0.441718,-226.1487100672845
865.011,0.621989,0.443277,-224.9609939081087
865.188,0.511647,0.435971,-223.7728519180671
865.364,0.503122,0.429648,-222.5842759309701
865.540,0.434010,0.388671,-221.3953320460056
865.717,0.538270,0.390898,-220.2059774783023
865.893,0.623801,0.418341,-219.0161753170595
866.070,0.593479,0.416535,-217.8260275233732
866.246,0.563845,0.414350,-216.6354522019528
866.422,0.677390,0.442263,-215.4444884823321
866.599,0.531744,0.411909,-214.2531166794317
866.775,0.444371,0.383221,-213.0613623517179
866.951,0.414667,0.368724,-211.8691009910648
867.128,0.499234,0.383883,-210.6765137207522
867.304,0.440496,0.368937,-209.4835318523559
867.481,0.467619,0.369141,-208.2900942170614
867.657,0.568752,0.374608,-207.0962933427873
867.833,0.669774,0.380252,-205.9020694390533
868.010,0.769656,0.380690,-204.7075326110153
868.186,0.832245,0.371998,-203.5124629131737
868.363,0.764969,0.344123,-202.3170709843432
868.539,0.726240,0.334414,-201.1212246497470
868.715,0.632088,0.315299,-199.9249776237386
868.892,0.592719,0.305593,-198.7283405126248
869.068,0.590530,0.304863,-197.5313011933227
869.245,0.589731,0.304276,-196.3338859817894
869.421,0.661380,0.321343,-195.1360589921599
869.597,0.806667,0.348168,-193.9377946391718
