wave,flux,err,fit
857.779,0.789630,0.455960,-117.7662176348932
857.956,0.647795,0.408277,-117.2215975299420
858.132,0.531805,0.362040,-116.6769911801200
858.309,0.622315,0.380973,-116.1323793155540
858.485,0.567848,0.379034,-115.5877527382124
858.661,0.515697,0.365343,-115.0431492316981
858.838,0.540152,0.365677,-114.4985342519999
859.014,0.564199,0.377015,-113.9539215132313
859.190,0.386312,0.337231,-113.4092863073505
859.367,0.383450,0.335876,-112.8646797298429
859.543,0.507023,0.360286,-112.3200506853973
859.720,0.580658,0.383922,-111.7754371943013
859.896,0.653804,0.395942,-111.2308159912201
860.072,0.702676,0.408188,-110.6861596489390
860.249,0.601544,0.382774,-110.1415495281296
860.425,0.500950,0.368438,-109.5969335762613
860.601,0.499169,0.367359,-109.0522883613841
860.778,0.472708,0.365759,-108.5076689395454
860.954,0.471637,0.364807,-107.9630518793486
861.131,0.615955,0.388396,-107.4184274282528
861.307,0.735970,0.411969,-106.8737903492008
861.483,0.637621,0.386037,-106.3291800216527
861.660,0.636093,0.384835,-105.7845216825667
861.836,0.707432,0.396661,-105.2399026509340
862.013,0.608626,0.383183,-104.6952699522132
862.189,0.606441,0.382132,-104.1506305026568
862.365,0.773446,0.418261,-103.6059841842088
862.542,0.795818,0.418023,-103.0613404308336
862.718,0.747898,0.403920,-102.5166939464666
862.895,0.759618,0.400007,-101.9720480888441
863.071,0.664023,0.374331,-101.4274023383726
863.247,0.568647,0.348544,-100.8827661536025
863.424,0.462024,0.315170,-100.3381285158964
863.600,0.519747,0.324389,-99.79346720002268
863.776,0.517733,0.323531,-99.24881898462378
863.953,0.457718,0.303636,-98.70415013003026
864.129,0.456365,0.304279,-98.15949425855769
864.306,0.653747,0.347880,-97.61485278903314
864.482,0.573109,0.346373,-97.07018246481319
864.658,0.553302,0.379519,-96.52552460450075
864.835,0.650982,0.441718,-95.98086433611115
865.011,0.621989,0.443277,-95.43620871793482
865.188,0.511647,0.435971,-94.89155592972283
865.364,0.503122,0.429648,-94.34689743623389
865.540,0.434010,0.388671,-93.80224747130141
865.717,0.538270,0.390898,-93.25759541871344
865.893,0.623801,0.418341,-92.71291593241166
866.070,0.593479,0.416535,-92.16826346552735
866.246,0.563845,0.414350,-91.62359973837607
866.422,0.677390,0.442263,-91.07893754253966
866.599,0.531744,0.411909,-90.53427999969476
866.775,0.444371,0.383221,-89.98962638890254
866.951,0.414667,0.368724,-89.44493499005144
867.128,0.499234,0.383883,-88.90026143859497
867.304,0.440496,0.368937,-88.35560061597724
867.481,0.467619,0.369141,-87.81091681974388
867.657,0.568752,0.374608,-87.26624161498458
867.833,0.669774,0.380252,-86.72156154809369
868.010,0.769656,0.380690,-86.17690540675514
868.186,0.832245,0.371998,-85.63221162216254
868.363,0.764969,0.344123,-85.08753566368151
868.539,0.726240,0.334414,-84.54285006894217
868.715,0.632088,0.315299,-83.99815767532948
868.892,0.592719,0.305593,-83.45346081228301
869.068,0.590530,0.304863,-82.90877713048894
869.245,0.589731,0.304276,-82.36409583683005
869.421,0.661380,0.321343,-81.81940936547242
869.597,0.806667,0.348168,-81.27470018450124
869.774,0.677257,0.328372,-80.73000535677934
869.950,0.620942,0.318733,-80.18530800080924
870.127,0.656821,0.327429,-79.64060818806115
870.303,0.491898,0.290722,-79.09591108481530
870.479,0.453611,0.281106,-78.55122147930093
870.656,0.495048,0.293083,-78.00652844843191
870.832,0.520820,0.304027,-77.46181245069869
871.009,0.582871,0.315662,-76.91712154345808
871.185,0.613492,0.333240,-76.37241200883231
871.362,0.670345,0.356042,-75.82772109843798
871.538,0.704716,0.363883,-75.28301253070499
871.714,0.617984,0.351636,-74.73830641543778
871.891,0.559856,0.342092,-74.19358581206542
872.067,0.563826,0.332624,-73.64889030740881
872.244,0.467834,0.307957,-73.10416815043006
872.420,0.514132,0.305183,-72.55946475638621
872.596,0.535878,0.303955,-72.01476155899260
872.773,0.546704,0.300491,-71.47003966691825
872.949,0.598764,0.308976,-70.92533918716087
873.126,0.667536,0.317391,-70.38062170412262
873.302,0.648159,0.316502,-69.83592078108435
873.478,0.717096,0.325230,-69.29120517870552
873.655,0.680918,0.316113,-68.74649611218548
873.831,0.697018,0.323878,-68.20178352415765
874.008,0.625248,0.314236,-67.65706857952205
874.184,0.484608,0.286605,-67.11234733014622
874.360,0.587189,0.303145,-66.56762032316936
874.537,0.707735,0.328429,-66.02289351749978
874.713,0.671896,0.319282,-65.47815656333894
874.890,0.705293,0.319323,-64.93342503450606
875.066,0.705314,0.319041,-64.38867806818334
875.243,0.600004,0.301370,-63.84394683754352
875.419,0.564130,0.292241,-63.29919885742989
875.595,0.683239,0.309197,-62.75444509640064
875.772,0.613345,0.299766,-62.20970933452779
875.948,0.596101,0.295226,-61.66496043213721
876.125,0.611701,0.294829,-61.12022524385490
876.301,0.593270,0.294074,-60.57547899084948
876.478,0.608261,0.293588,-60.03075361249506
876.654,0.692055,0.309898,-59.48601634116277
876.830,0.895011,0.348463,-58.94128474807060
877.007,0.825795,0.339193,-58.39654633756167
877.183,0.807607,0.330618,-57.85180807670000
877.360,0.704411,0.320940,-57.30706930367680
877.536,0.614720,0.310168,-56.76232970580576
877.712,0.521777,0.308483,-56.21759206157878
877.889,0.555736,0.335550,-55.67283425250289
878.065,0.572786,0.362393,-55.12808977707144
878.242,0.547756,0.369421,-54.58333658780909
878.418,0.560367,0.378014,-54.03857785324413
878.595,0.599058,0.400388,-53.49381046446462
878.771,0.612404,0.410823,-52.94906153054623
878.947,0.625753,0.421225,-52.40430038565314
879.124,0.564740,0.425060,-51.85954353399849
879.300,0.603007,0.447163,-51.31478540762433
879.477,0.687165,0.448542,-50.77002574705825
879.653,0.696472,0.437249,-50.22526381415486
879.830,0.705727,0.426019,-49.68049579083613
880.006,0.888996,0.445882,-49.13573432128333
880.182,0.873623,0.434358,-48.59097487823963
880.359,0.748063,0.408967,-48.04621578363711
880.535,0.722037,0.407752,-47.50144772234800
880.712,0.695112,0.386926,-46.95667920100124
880.888,0.577198,0.346607,-46.41191985512735
881.065,0.591242,0.327409,-45.86715170391076
881.241,0.581182,0.311612,-45.32238623312612
