wave,flux,err,fit
830.558,-0.0264935,0.420335,-1615.773793358271
830.732,0.0416862,0.418033,-1611.607141509355
830.907,0.176937,0.405955,-1607.440699634865
831.081,0.108510,0.436016,-1603.274258017078
831.255,0.375091,0.434016,-1599.107603422180
831.430,0.373868,0.454315,-1594.941059428976
831.604,0.505900,0.474012,-1590.774512188968
831.778,0.502064,0.482311,-1586.607966406233
831.952,0.369827,0.478639,-1582.441524592300
832.126,0.432969,0.496973,-1578.274875855581
832.301,0.364117,0.492719,-1574.108220068156
832.475,0.493945,0.470756,-1569.941780159820
832.649,0.426572,0.459230,-1565.775125369044
832.823,0.231277,0.438709,-1561.608256240776
832.998,0.293732,0.416427,-1557.441494402746
833.172,0.228053,0.416739,-1553.274729922970
833.346,0.354047,0.412856,-1549.107967543446
833.520,0.288936,0.451134,-1544.940884486407
833.695,0.475726,0.487318,-1540.774440860411
833.869,0.785778,0.485394,-1536.607785643903
834.043,0.784559,0.520553,-1532.441022852920
834.218,0.904642,0.519031,-1528.274156241675
834.392,0.528892,0.516635,-1524.107180038209
834.566,0.711912,0.494076,-1519.940736414282
834.740,0.523693,0.483352,-1515.773870378105
834.914,0.400808,0.462876,-1511.607321610230
835.089,0.397223,0.480195,-1507.440345493150
835.263,0.394465,0.458185,-1503.273476730797
835.437,0.515144,0.437353,-1499.106822472608
835.612,0.332336,0.464427,-1494.939951880816
835.786,0.389405,0.442306,-1490.772977477784
835.960,0.388253,0.403649,-1486.606214062823
836.134,0.327967,0.401895,-1482.439450511245
836.309,0.148089,0.419933,-1478.272368227580
836.483,0.323009,0.381072,-1474.105391525899
836.657,0.322649,0.416315,-1469.938309721292
836.831,0.612661,0.451001,-1465.771437797377
837.006,0.551861,0.468933,-1461.604780822046
837.180,0.782855,0.483965,-1457.437592491891
837.354,0.778662,0.500051,-1453.270615853656
837.528,0.661693,0.453483,-1449.103850901491
837.703,0.373239,0.435464,-1444.936980900257
837.877,0.141480,0.416195,-1440.769576614198
838.051,0.197220,0.378419,-1436.602708076855
838.226,0.310381,0.395732,-1432.435621723986
838.400,0.421206,0.420519,-1428.268752088278
838.574,0.475649,0.400480,-1424.101560949476
838.748,0.419037,0.431818,-1419.934477496087
838.923,0.472125,0.471741,-1415.767817707727
839.097,0.361510,0.505160,-1411.600946795768
839.271,0.498277,0.489565,-1407.433440156862
839.445,0.240356,0.532981,-1403.266459596362
839.620,0.351110,0.522986,-1399.099589556410
839.794,0.308186,0.476921,-1394.932185137073
839.968,0.385542,0.409018,-1390.765207751286
840.143,0.293860,0.403763,-1386.598017314428
840.317,0.319905,0.387869,-1382.430934573692
840.491,0.472161,0.374075,-1378.263957823080
840.665,0.644451,0.402055,-1374.096875236104
840.840,0.858781,0.414126,-1369.929682539181
841.014,0.770102,0.426276,-1365.762492782103
841.188,0.767429,0.411269,-1361.595621683841
841.362,0.550465,0.409290,-1357.428323103881
841.537,0.591312,0.395410,-1353.261238427979
