wave,flux,err,fit
844.674,0.475469,0.347929,-546.5407935890807
844.848,0.393403,0.371424,-544.8627569021525
845.022,0.631798,0.394441,-543.1840435774998
845.197,0.908974,0.380980,-541.5043956794850
845.371,0.828409,0.392297,-539.8242117474226
845.545,0.745721,0.415396,-538.1431815879208
845.719,0.623208,0.402674,-536.4615655720683
845.894,0.858780,0.366252,-534.7792321719112
846.068,0.738824,0.390494,-533.0959681988113
846.242,0.696894,0.365548,-531.4122387560847
846.417,0.499404,0.340547,-529.7276751952379
846.591,0.458984,0.315612,-528.0424373467663
846.765,0.262714,0.302847,-526.3563988961050
846.939,0.261878,0.301422,-524.6698094375962
847.114,0.376381,0.312301,-522.9823366396867
847.288,0.452541,0.311511,-521.2941041824001
847.462,0.490243,0.322501,-519.6052746195487
847.637,0.411572,0.333235,-517.9155906212719
847.811,0.409863,0.308280,-516.2252461677135
847.985,0.332444,0.318616,-514.5342103595368
848.159,0.406890,0.306936,-512.8423006840870
848.334,0.329964,0.328591,-511.1498782600992
848.508,0.631336,0.327081,-509.4568691852797
848.682,0.516689,0.349409,-507.7627645026732
848.857,0.628602,0.347845,-506.0680946732010
849.031,0.476134,0.358458,-504.3726284633768
849.205,0.512365,0.323708,-502.6766140146482
849.380,0.399145,0.323678,-500.9797459272109
849.554,0.360564,0.272317,-499.2822591778225
849.728,0.211298,0.221037,-497.5839893325775
849.902,0.136797,0.220261,-495.8850526122669
850.077,0.135609,0.241750,-494.1852656696586
850.251,0.355959,0.251254,-492.4849253829771
850.425,0.539007,0.289852,-490.7837525483299
850.600,0.501053,0.339362,-489.0818233323845
850.774,0.462629,0.327518,-487.3792723961542
850.948,0.351942,0.337756,-485.6757603561198
851.122,0.604903,0.337282,-483.9718388052077
851.297,0.639628,0.347392,-482.2668727131355
851.471,0.747175,0.346964,-480.5616520606297
851.645,0.600195,0.378435,-478.8553709432065
851.820,0.670299,0.344921,-477.1481835113487
851.994,0.561390,0.322748,-475.4406463998927
852.168,0.416854,0.301002,-473.7321047250210
852.342,0.200724,0.278790,-472.0230287793624
852.517,0.200277,0.266952,-470.3132831509735
852.691,0.306345,0.265244,-468.6025699052500
852.865,0.270577,0.274797,-466.8911581516184
853.040,0.305500,0.294725,-465.1791669942290
853.214,0.304221,0.304143,-463.4664966053116
853.388,0.374155,0.303225,-461.7528827766604
853.563,0.443438,0.324203,-460.0386589832482
853.737,0.442183,0.324080,-458.3235491654191
853.911,0.476382,0.312946,-456.6079543681331
854.086,0.405435,0.323642,-454.8913465629153
854.260,0.473654,0.302572,-453.1742072259568
854.434,0.403208,0.291292,-451.4561927101086
854.608,0.466627,0.324623,-449.7375872781953
854.783,0.795971,0.326906,-448.0183017481958
854.957,0.905271,0.305104,-446.2980961388533
855.131,0.805393,0.334668,-444.5772182444163
855.306,0.311956,0.372634,-442.8556134362800
855.480,0.327281,0.359336,-441.1333025926667
855.654,0.395361,0.368608,-439.4102514867500
855.829,0.383725,0.406799,-437.6864313224180
856.003,0.499074,0.401646,-435.9619682525081
856.177,0.542716,0.363941,-434.2367084594683
856.352,0.525915,0.369147,-432.5108110587065
856.526,0.438476,0.384363,-430.7841403306552
856.700,0.565494,0.382394,-429.0565593405400
856.875,0.735649,0.394134,-427.3285082600282
857.049,0.776784,0.394809,-425.5995719215653
857.223,0.562708,0.407403,-423.8699552638213
857.397,0.730636,0.406525,-422.1395908251909
857.572,0.771369,0.406374,-420.4084931353095
857.746,0.939615,0.392317,-418.6768185445987
857.920,0.684971,0.404455,-416.9442481097300
858.095,0.557269,0.377512,-415.2109571704570
858.269,0.430008,0.336524,-413.4768303828700
858.443,0.355581,0.299500,-411.7421230139881
858.618,0.283995,0.300483,-410.0065896864412
858.792,0.447415,0.292830,-408.2702678283541
858.966,0.629071,0.277898,-406.5333016351690
859.141,0.710656,0.297303,-404.7956180498302
859.315,0.626564,0.312956,-403.0571401303855
859.489,0.597663,0.288044,-401.3177481577996
859.664,0.514473,0.287650,-399.5780623851111
859.838,0.567492,0.303481,-397.8372784310170
860.012,0.729255,0.286792,-396.0958965364545
860.186,0.728553,0.277874,-394.3536467533901
860.361,0.591541,0.285742,-392.6107897877474
860.535,0.400167,0.268593,-390.8672428084375
860.710,0.399721,0.259684,-389.1228773132158
860.884,0.533706,0.283170,-387.3777022599148
861.058,0.640140,0.291182,-385.6318984564729
861.232,0.773525,0.290240,-383.8853661298850
861.407,0.664639,0.297764,-382.1380289547262
861.581,0.529082,0.304856,-380.3899712000074
861.755,0.581153,0.288672,-378.6411370478138
861.930,0.606970,0.296162,-376.8916060065451
862.104,0.765729,0.303604,-375.1413224871907
862.278,0.684293,0.294841,-373.3903429905001
862.453,0.577050,0.278369,-371.6385197600771
862.627,0.416427,0.277687,-369.8859405229626
