wave,flux,err,fit_all,fit_stell
788.369,0.863212,1.95957,-660.9917215316127,-661.1617487198004
788.433,0.857190,1.96781,-660.8398305769107,-661.0099310955217
788.496,0.761505,1.96298,-660.6874141972010,-660.8575304301672
788.560,0.530853,1.93636,-660.5349571598891,-660.7053435854903
788.624,0.586730,1.91018,-660.3825383787264,-660.5529310160611
788.687,0.889714,1.86823,-660.2294914718383,-660.4000661092397
788.751,0.349453,1.82168,-660.0763251464574,-660.2468963609230
788.815,0.448448,1.80353,-659.9229370104810,-660.0935522294301
788.878,1.02302,1.79776,-659.7693954904975,-659.9400482984302
788.942,0.701832,1.79801,-659.6156311992783,-659.7863686708977
789.005,-0.310251,1.79992,-659.4617757851011,-659.6324908087984
789.069,0.135083,1.80367,-659.3072973373370,-659.4783628843473
789.133,0.202313,1.77825,-659.1530657319935,-659.3241494763244
789.196,-0.0490440,1.75075,-658.9982105628955,-659.1692824058117
789.260,0.157823,1.73178,-658.8436023003998,-659.0146826813381
789.324,1.00116,1.72560,-658.6880946329401,-658.8594289713511
789.387,0.777846,1.72534,-658.5327716057614,-658.7040285286657
789.451,1.07485,1.73508,-658.3769486547707,-658.5484999504341
789.514,1.22203,1.74248,-658.2213106125106,-658.3927750222400
789.578,0.803299,1.73988,-658.0652859381262,-658.2368351049671
789.642,0.558496,1.71009,-657.9090317948657,-658.0806841438433
789.705,0.361794,1.68595,-657.7524526654381,-657.9243793772064
789.769,0.0442603,1.64792,-657.5959965183356,-657.7678171234387
789.833,0.0809980,1.61919,-657.4386640637803,-657.6107988362013
789.896,0.135390,1.60462,-657.2818915488674,-657.4539104814168
789.960,-0.176608,1.62530,-657.1240045749493,-657.2961277680604
790.024,0.0995131,1.64059,-656.9665160227006,-657.1388385776912
790.087,0.00484878,1.66526,-656.8085246796894,-656.9806672140897
790.151,-0.381842,1.68030,-656.6506568113067,-656.8229888865787
790.214,-0.104650,1.66810,-656.4922857064485,-656.6648271152875
790.278,0.196040,1.65007,-656.3338258965953,-656.5064725560034
790.342,0.469535,1.61516,-656.1748002002000,-656.3475223109267
790.405,0.676917,1.57835,-656.0158980658327,-656.1887157937026
790.469,0.958837,1.55593,-655.8567040594409,-656.0293629833769
790.533,0.864249,1.52677,-655.6972096184882,-655.8698809005504
790.596,0.421683,1.49718,-655.5373601619799,-655.7101374002597
790.660,0.154721,1.49307,-655.3777592384068,-655.5506624394851
790.724,-0.345348,1.50506,-655.2175284248051,-655.3905276891523
790.787,-0.721652,1.51852,-655.0571694233397,-655.2302845907697
790.851,-1.05306,1.55077,-654.8967222265572,-655.0698506767890
790.914,-1.17656,1.58067,-654.7357480467870,-654.9091341464483
790.978,-1.90280,1.59248,-654.5747129705040,-654.7482974183082
791.042,-1.68420,1.58448,-654.4134192277254,-654.5869545727319
791.105,-1.35657,1.56272,-654.2521046379400,-654.4257557043030
791.169,-1.11878,1.52376,-654.0900923982528,-654.2639091482157
791.233,-0.492977,1.48723,-653.9281213565390,-654.1019716760401
791.296,0.113517,1.45210,-653.7660001342010,-653.9397825682851
791.360,-0.0741882,1.42044,-653.6033724561045,-653.7774521855364
791.423,-0.0174774,1.39872,-653.4412042870945,-653.6152783600068
791.487,-0.567833,1.38998,-653.2781304802494,-653.4521469317942
791.551,-0.473140,1.39833,-653.1150322612319,-653.2892843175595
791.614,-0.375235,1.42542,-652.9516371859153,-653.1258221324373
791.678,0.216702,1.45803,-652.7883654797795,-652.9628474420970
791.742,0.0138420,1.48589,-652.6245231196565,-652.7989282389070
791.805,0.858839,1.52617,-652.4603840474430,-652.6348851708613
791.869,0.814041,1.53934,-652.2961569117366,-652.4706207897497
791.932,0.675739,1.53602,-652.1316334427959,-652.3061839413734
791.996,0.351480,1.53028,-651.9670210864961,-652.1418678627537
792.060,0.526221,1.52188,-651.8021127501839,-651.9770854807288
792.123,0.399846,1.49856,-651.6369053493148,-651.8117510782845
792.187,0.522395,1.47930,-651.4715046067240,-651.6465367448978
792.251,0.519249,1.46160,-651.3058479139668,-651.4810858239184
792.314,0.561055,1.44562,-651.1401684539087,-651.3155129246904
792.378,0.622910,1.42587,-650.9741884859988,-651.1493866986053
792.442,0.440901,1.42412,-650.8077875300472,-650.9830131463438
792.505,0.617445,1.41721,-650.6411487056607,-650.8164907911182
792.569,0.967933,1.41236,-650.4743613783621,-650.6497702512567
792.633,1.14523,1.41389,-650.3073357869217,-650.4828513880329
792.696,1.07611,1.42790,-650.1402248426230,-650.3157490142769
792.760,1.42038,1.43442,-649.9728116613151,-650.1484814508333
792.823,1.09011,1.44979,-649.8052502375313,-649.9809676764559
792.887,0.734074,1.46473,-649.6374491808652,-649.8132536536548
