wave,flux,err,fit_all,fit_stell
791.017,2.13532,2.75352,-5.813026626115429,-5.814895387177282
791.075,2.02690,2.73314,-5.808718094326016,-5.810586428476475
791.132,1.39043,2.70699,-5.804404785934672,-5.806273386180210
791.190,0.827972,2.67692,-5.800097042166502,-5.801964698963500
791.247,0.593844,2.65463,-5.795781720173740,-5.797649835740067
791.305,1.36869,2.64342,-5.791468898829278,-5.793336738657532
791.362,0.875154,2.62479,-5.787150913807424,-5.789018549776964
791.420,0.436683,2.60531,-5.782835208188082,-5.784702335029341
791.477,0.563418,2.59833,-5.778509232198066,-5.780375920031936
791.535,1.38144,2.60482,-5.774192097314291,-5.776059084601433
791.592,1.53676,2.60653,-5.769871721525745,-5.771738087575067
791.650,2.06857,2.61567,-5.765546641604297,-5.767413496381352
791.707,1.99513,2.61490,-5.761223604906253,-5.763089606641243
791.765,2.67315,2.61990,-5.756895836517123,-5.758762517296485
791.822,2.05513,2.60322,-5.752569020398069,-5.754435277501345
791.880,1.62033,2.58719,-5.748239211556024,-5.750104642877385
791.938,1.15577,2.56511,-5.743905307468260,-5.745771116560759
791.995,2.08329,2.56726,-5.739575309899943,-5.741441381819644
792.053,1.30972,2.55124,-5.735240224983816,-5.737105783211983
792.110,1.08594,2.54719,-5.730907553684095,-5.732772720702490
792.168,0.242576,2.53660,-5.726568521021290,-5.728433601838089
792.225,0.871490,2.55163,-5.722232775927645,-5.724098077860512
792.283,0.949846,2.55641,-5.717891202618845,-5.719755766478898
792.340,1.95014,2.57287,-5.713553462913474,-5.715418017314434
792.398,2.17329,2.56769,-5.709207531355183,-5.711071774724510
792.455,2.51308,2.56245,-5.704862424107104,-5.706726846141589
792.513,1.58543,2.54289,-5.700519314245026,-5.702383197737835
792.570,0.963801,2.52000,-5.696170676063376,-5.698034926801648
792.628,0.213122,2.49634,-5.691824927945548,-5.693688830218301
792.685,0.0942023,2.48960,-5.687473162857279,-5.689336601070544
792.743,0.749795,2.48657,-5.683124715241625,-5.684987577162617
792.800,1.06590,2.47188,-5.678769647566945,-5.680633070487961
792.858,1.29057,2.46956,-5.674417250796295,-5.676280522052622
792.915,1.43671,2.46007,-5.670064404078543,-5.671926993500295
792.973,1.55884,2.45576,-5.665700755590453,-5.667563325376791
793.031,0.871293,2.44584,-5.661345071619531,-5.663207565347268
793.088,1.50584,2.44680,-5.656983427640971,-5.658845494711267
793.146,1.12201,2.44100,-5.652624610053039,-5.654486373908596
793.203,1.02600,2.43798,-5.648260101813888,-5.650121627481930
793.261,0.625559,2.42566,-5.643897730211178,-5.645759375830813
793.318,0.682027,2.42307,-5.639529706414013,-5.641391122034921
793.376,-0.335985,2.41281,-5.635165517771000,-5.637027005848105
793.433,-0.749467,2.39568,-5.630794385373090,-5.632655830624010
793.491,-0.677512,2.39536,-5.626421705947215,-5.628282404199990
793.548,-0.308971,2.39788,-5.622053709188785,-5.623914141180191
793.606,-0.816538,2.39110,-5.617677697117982,-5.619537570652070
793.663,-0.0337632,2.39178,-5.613305984864290,-5.615166013725816
793.721,0.724203,2.39998,-5.608927503033486,-5.610787161081182
793.778,0.223073,2.37975,-5.604554134206762,-5.606413488179151
793.836,-0.262194,2.35781,-5.600177322274561,-5.602036317746318
793.893,0.568361,2.34489,-5.595794807884604,-5.597653918164620
793.951,0.633955,2.33629,-5.591410358165827,-5.593269060694618
794.009,0.0279339,2.31954,-5.587029540230247,-5.588888778655824
794.066,0.213459,2.32306,-5.582642986283930,-5.584501593747969
794.124,-0.0772470,2.32021,-5.578255353593834,-5.580114036843944
794.181,-0.824906,2.31262,-5.573869472418777,-5.575727363413592
794.239,-1.00968,2.31507,-5.569478915040228,-5.571337066775135
794.296,-0.605262,2.31597,-5.565090941299133,-5.566948661500802
794.354,-0.477786,2.31191,-5.560700992809686,-5.562558811855589
794.411,-0.222387,2.31112,-5.556306421154697,-5.558163352171066
794.469,-0.423646,2.30587,-5.551909496012640,-5.553766069087995
794.526,-0.553735,2.29043,-5.547515311244881,-5.549372057092273
794.584,-0.442061,2.28744,-5.543114817211515,-5.544971217292797
